r,rho,P,analytic_rho
0.025,0.0,0.0,0.302785729847495
0.07500000000000001,0.0,0.0,0.27397185801334095
0.125,0.0,0.0,0.24789998861930596
0.17500000000000002,0.0,0.0,0.22430918563343655
0.225,0.0,0.0,0.2029633443703075
0.275,0.13755565361060265,0.1310836286889862,0.18364882847597233
0.32500000000000007,0.0,0.0,0.16617233178352758
0.375,0.0,0.0,0.15035894364002195
0.42500000000000004,0.0,0.0,0.1360503983418518
0.475,0.0,0.0,0.123103491158405
0.525,0.10056078637187411,0.34856620056795196,0.11138864509098376
0.5750000000000001,0.0,0.0,0.10078861402264959
0.625,0.0,0.0,0.09119730927967717
0.675,0.05591029852737732,0.32026372854383534,0.08251873786044996
0.7250000000000001,0.0,0.0,0.0746660417052357
0.775,0.0,0.0,0.06756062839153076
0.8250000000000001,0.04659312828052925,0.39863235437612615,0.06113138455467963
0.875,0.0,0.0,0.05531396416141967
0.925,0.05213870191572063,0.5607370803486723,0.050050144513152574
0.9750000000000001,0.0,0.0,0.045287243533607614
1.025,0.020016559009853534,0.26432188680489527,0.040977592508915237
1.0750000000000002,0.0,0.0,0.03707805900309652
1.125,0.031496081933404495,0.5010059958700886,0.033549615174146834
1.1750000000000003,0.0,0.0,0.030356947170275057
1.225,0.03769243067569006,0.7108802940511647,0.02746810169700572
1.275,0.01100345471727956,0.22480964918378346,0.024854166217867825
1.3250000000000002,0.0,0.0,0.02248897958801208
1.375,0.02085615712543591,0.49556132322251323,0.020348870224680255
1.4250000000000003,0.023825253050208155,0.6080253258804169,0.018412419194048492
1.475,0.0,0.0,0.016660245843338584
1.525,0.013176463329813953,0.3851122312956453,0.015074813832730818
1.5750000000000002,0.01753271153176984,0.5465835285633337,0.013640255625780914
1.625,0.015620205268451051,0.5183672959829684,0.012342213681782078
1.6750000000000003,0.0,0.0,0.011167696760671784
1.725,0.008801581256960535,0.3291388678437957,0.010104949902334811
1.775,0.007939277280438431,0.314352027173139,0.009143336779011356
1.8250000000000002,0.017737071428446622,0.7424114840777789,0.008273233243353858
1.875,0.009582549375741208,0.42336915032655537,0.0074859310067255744
1.9250000000000003,0.00671465950635129,0.312694139901801,0.006773550483720896
1.975,0.01042090030705396,0.5108254194483726,0.006128961930626243
2.0250000000000004,0.002344312666673645,0.12080850698680415,0.005545714088548537
2.075,0.01065875621789862,0.5767314156042567,0.0050179696170479056
2.125,0.009675791008062819,0.5490782593582175,0.004540446672072521
2.175,0.0035120268589372916,0.20878790704262573,0.004108366043488066
2.225,0.0063735028195439514,0.39652114594861093,0.0037174033231363503
2.2750000000000004,0.005789648523810491,0.3765670765314535,0.0033636456247049897
2.325,0.008992250702087892,0.6108589232942552,0.003043552422246016
2.375,0.005739949078196014,0.40687515527845225,0.002753920115402177
2.4250000000000003,0.002092331223244831,0.15462480728515804,0.002491849966697796
2.475,0.004137387501056184,0.3184939879907167,0.0022547190899998267
2.5250000000000004,0.006108611106852896,0.4894285475375378,0.0020401541997918304
2.575,0.004717903159676505,0.3931216828943676,0.0018460078585348597
2.625,0.003475558133623202,0.30095819047580913,0.001670336984390774
2.6750000000000003,0.0019106121285776953,0.1718076949561415,0.001511383404206118
2.725,0.006800111981213694,0.6345577113660816,0.0013675562571242633
2.7750000000000004,0.001528535942252721,0.1479187552283726,0.0012374160727152386
2.825,0.002815108571789531,0.2823275468575047,0.0011196603642718542
2.875,0.002954952970384174,0.3069354716420076,0.0010131105930849468
2.9250000000000003,0.0022589202741750396,0.24286955847761502,0.0009167003732318624
2.975,0.0030566561197634956,0.33997001095616886,0.0008294647988277193
3.0250000000000004,0.0013182725300932984,0.1515918007501674,0.0007505307869229897
3.075,0.0030402239147590375,0.3612561454327791,0.0006791083393958952
3.125,0.001228766876852361,0.15079559945470197,0.0006144826363856701
3.1750000000000003,0.0022430941820364794,0.2841540219963289,0.0005560068821351388
3.225,0.0028949272355667005,0.3783690924619467,0.0005030958316413833
3.2750000000000004,0.0003499996845239329,0.04717463636370242,0.0004552199333270428
3.325,0.0014126847862228102,0.19626669766702756,0.0004119000291101432
3.375,0.0008515920475821511,0.12189810625485122,0.00037270255882895873
3.4250000000000003,0.001922326714817694,0.28337786895780026,0.00033723522102619015
3.475,0.0010163874381288508,0.1542361810006848,0.00030514304666412413
3.5250000000000004,0.0012046462591662386,0.188102654573289,0.0002761048464751923
3.575,0.0003874296640606767,0.06222457020250727,0.0002498299963918281
3.625,0.0008909951458403533,0.14713232884682326,0.0002260555288831149
3.6750000000000003,0.0012831078074315282,0.21776816804066257,0.00020454350108735088
3.725,0.000438729994655082,0.07650085088030362,0.0001850786133999141
3.7750000000000004,0.0007829758432618775,0.14021629526025517,0.00016746605468245373
3.825,0.0007351977507670986,0.13517086619551802,0.00015152955252754031
3.875,0.00038799303843682,0.073212162770175,0.00013710960906516395
3.9250000000000003,0.0005774729209705754,0.11179610764397148,0.00012406190465444266
3.975,0.000467293254273451,0.09278534094040036,0.00011225585348414934
4.025,0.00032476341903259133,0.06611718018048075,0.0001015732966260206
4.075,0.00039988982708517797,0.08344703207160513,9.190731946048918e-05
4.125,0.00033694537453213665,0.07204810889431171,8.316118163923516e-05
4.175000000000001,0.0003070464287845571,0.06725615958592691,7.524734887526488e-05
4.225,0.00018323574332502286,0.04110347628871095,6.808661687034589e-05
4.275,0.00025550832095449637,0.05868026965832905,6.160731861176728e-05
4.325,0.00019886374667230013,0.04674579411770341,5.574460710479025e-05
4.375,0.0002052497917410782,0.049368897743238445,5.0439806362127436e-05
4.425000000000001,0.00017869139202227722,0.04396880545858089,4.5639824154941085e-05
4.475,0.00018202628458119006,0.04580728649067572,4.1296620647972204e-05
4.525,0.00014205379483455034,0.03655142304590977,3.736672760072161e-05
4.575,9.697768937170535e-05,0.02550751882232047,3.381081332268998e-05
4.625,0.00010490177605415524,0.028198136537291963,3.059328902859864e-05
4.675000000000001,0.00014345085976463534,0.039398563709440865,2.7681952653865002e-05
4.725,5.846722116196395e-05,0.016403253455614723,2.5047666565516937e-05
4.775,7.56717301236766e-05,0.02168174576392148,2.266406594296795e-05
4.825000000000001,9.523642994626084e-05,0.027861948988419195,2.0507294910031812e-05
4.875,4.3001285569066065e-05,0.01284234552945578,1.8555767777295203e-05
4.925000000000001,7.832606615259617e-05,0.02387439521945653,1.6789953005282624e-05
4.975,3.9473836052692734e-05,0.012277473990907105,1.5192177726245062e-05
5.025,5.0974961863191604e-05,0.016174932944901015,1.3746450868158977e-05
5.075000000000001,3.1986968141016725e-05,0.01035281725183971,1.2438303110703126e-05
5.125,3.741813275006528e-05,0.012350460744285962,1.1254642071437284e-05
5.175000000000001,2.4858794372644617e-05,0.008365925883646626,1.018362127283818e-05
5.225,3.6130434147056705e-05,0.012395354385446077,9.214521578770993e-06
5.275,1.4657801710921629e-05,0.005125389629974036,8.337643913771766e-06
5.325000000000001,2.1097362920538922e-05,0.007517621446444549,7.544212191440467e-06
5.375,2.3442075756229513e-05,0.008510714031289031,6.826285480418415e-06
5.425000000000001,9.361809169438133e-06,0.003462359886681211,6.17667852887815e-06
5.475,1.8807396103529813e-05,0.007084509724688573,5.588889852108265e-06
5.525,1.2810459525274316e-05,0.004914078630484583,5.057036663469012e-06
5.575000000000001,8.352873575044456e-06,0.003262409151696411,4.575795997486478e-06
5.625,1.2888358952019934e-05,0.005124546050769859,4.140351435824952e-06
5.675000000000001,6.439696438999695e-06,0.002606212363909242,3.746344902953322e-06
5.725,7.453660463492661e-06,0.0030699635000797196,3.389833049060469e-06
5.775,6.123283090067546e-06,0.002566261403162925,3.067247783684835e-06
5.825000000000001,4.956102596922635e-06,0.002113219833856935,2.775360565065901e-06
5.875,5.453378585558186e-06,0.0023653416313185265,2.511250087813057e-06
5.925000000000001,4.07523250854657e-06,0.0017978006898222772,2.27227304549934e-06
5.975,3.571206454776176e-06,0.0016021500050711402,2.056037675562334e-06
6.025,2.442198440386363e-06,0.0011140569916223539,1.8603798217404755e-06
6.075000000000001,2.5992683929247935e-06,0.0012054688875418095,1.6833412744698482e-06
6.125,2.272591376246689e-06,0.0010713856277377904,1.5231501724646621e-06
6.175000000000001,1.3899596869335554e-06,0.0006660216784082375,1.3782032693339494e-06
6.225,2.063205881064524e-06,0.0010046932338547733,1.2470498877528517e-06
6.275,1.1549262788729784e-06,0.0005714705906800706,1.128377400596322e-06
6.325000000000001,1.2288799780493297e-06,0.0006177925313966015,1.020998093725702e-06
6.375,1.1250180936576748e-06,0.0005745554860325817,9.23837278946403e-07
6.425000000000001,8.630321613910511e-07,0.00044769815028766915,8.359225381672286e-07
6.475,6.097667115494586e-07,0.00032125898227208907,7.563739911133027e-07
6.525,7.194707465636822e-07,0.00038493390150273207,6.843954891885136e-07
6.575000000000001,4.901804998549803e-07,0.00026629284747059593,6.192666473527913e-07
6.625,6.357099456576007e-07,0.00035062485312931227,5.603356342664859e-07
6.675000000000001,3.250560338288933e-07,0.00018200053590433705,5.070126485432282e-07
6.725,2.1073320255733683e-07,0.00011976485946974022,4.58764015819429e-07
6.775,4.2615135266244136e-07,0.00024580703348986085,4.151068475618596e-07
6.825000000000001,2.18417160037262e-07,0.0001278509247804043,3.756042081569192e-07
6.875,1.6607354480742166e-07,9.864103919676772e-05,3.3986074191214857e-07
6.925000000000001,1.9791566066804959e-07,0.00011927006793088821,3.075187162035737e-07
6.975,1.4467728911861154e-07,8.845054439765607e-05,2.7825444116737526e-07
7.025,1.2773769084808755e-07,7.921791643994312e-05,2.517750301029263e-07
7.075000000000001,9.885172412476393e-08,6.217972664090987e-05,2.2781546816425746e-07
7.125,9.035847499521112e-08,5.764349121362165e-05,2.0613596000240052e-07
7.175000000000001,7.123216487685421e-08,4.6082027196359284e-05,1.8651952981293565e-07
7.225,6.389181831869197e-08,4.19114366745356e-05,1.6876984976921826e-07
7.275,5.964431266129656e-08,3.966857566428616e-05,1.52709275107496e-07
7.325000000000001,3.469455264924883e-08,2.3393117403181037e-05,1.3817706619840954e-07
7.375,3.9316573899949015e-08,2.6872696212709807e-05,1.25027779810753e-07
7.425000000000001,2.4323538108549544e-08,1.6851213031632345e-05,1.1312981346673007e-07
7.475,2.8562441755706645e-08,2.0055302136778934e-05,1.0236408832012598e-07
7.525,2.4935842360986204e-08,1.7743876830067256e-05,9.26228573751876e-08
7.575000000000001,1.6537950163932122e-08,1.1925000173995712e-05,8.380862711847755e-08
7.625,1.1277480027976689e-08,8.2395441070027e-06,7.58331817710219e-08
7.675000000000001,1.335197508604381e-08,9.883566338686514e-06,6.861670039514294e-08
7.725,1.0514069155501256e-08,7.884591284312876e-06,6.208695801968829e-08
7.775,8.454823637376922e-09,6.422686278373299e-06,5.6178602788241676e-08
7.825000000000001,6.8202989204262675e-09,5.247874534930493e-06,5.0832501895780295e-08
7.875,5.40087057317683e-09,4.208973756192351e-06,4.599514976768596e-08
7.925000000000001,5.77784982591968e-09,4.56011816085679e-06,4.1618132557970174e-08
7.975,3.192423484758015e-09,2.5514858670305873e-06,3.765764360723211e-08
8.025,2.7936921422877364e-09,2.2608924177269463e-06,3.4074045010886215e-08
8.075,2.9267642513506143e-09,2.39819258229806e-06,3.083147090969142e-08
8.125,1.862069977065578e-09,1.5447349466235274e-06,2.789746853217594e-08
8.175,1.8152168742220553e-09,1.5244572870720458e-06,2.5242673396393474e-08
8.225000000000001,1.664194158683072e-09,1.4147737981140852e-06,2.2840515420317644e-08
8.275,7.807556935698341e-10,6.718345746392534e-07,2.066695299953078e-08
8.325,9.655352343720966e-10,8.409066376558095e-07,1.8700232390766e-08
8.375,8.087875573716571e-10,7.128780565856983e-07,1.6920669993133104e-08
8.425,5.95241627015928e-10,5.309385420204573e-07,1.5310455348025075e-08
8.475000000000001,6.491221507610904e-10,5.858911888978594e-07,1.3853472886061837e-08
8.525,3.641874728253979e-10,3.3260202370044096e-07,1.2535140637055391e-08
8.575,3.0968071518024456e-10,2.8614984382003326e-07,1.134226428875086e-08
8.625,2.768680076938887e-10,2.588225211930214e-07,1.0262905133714783e-08
8.675,2.1070834017394072e-10,1.9926533756375592e-07,9.286260582738464e-09
8.725000000000001,1.4667991957700647e-10,1.403177418701803e-07,8.402556048894166e-09
8.775,1.2889292189443948e-10,1.2471949917269676e-07,7.602947120183847e-09
8.825,1.0062990003159821e-10,9.848441173687871e-08,6.8794310416911015e-09
8.875,5.3615245698881545e-11,5.3068405225786064e-08,6.224766621320199e-09
8.925,4.682874619374009e-11,4.687485954946102e-08,5.632401757511785e-09
8.975000000000001,2.2004272872118685e-11,2.227342088545517e-08,5.0964078636081575e-09
9.025,1.3119717827489046e-11,1.3428573808482534e-08,4.611420532565375e-09
9.075,7.009426258848253e-12,7.2541528339799425e-09,4.172585848164473e-09
9.125,7.002107469448445e-13,7.326650397487706e-10,3.775511805386521e-09
9.175,1.7803490961743774e-13,1.8833379300531037e-10,3.4162243537502187e-09
9.225000000000001,2.7073277446430215e-14,2.895239603617545e-11,3.091127623678908e-09
9.275,2.041680860319534e-15,2.2071233729547797e-12,2.7969679378292606e-09
9.325,1.788192677437109e-16,1.9539925233403172e-13,2.5308012471947956e-09
9.375,4.020839844205075e-18,4.440892098500563e-15,2.289963666073922e-09
9.425,0.0,0.0,2.072044811006485e-09
9.475000000000001,0.0,0.0,1.874863676845913e-09
9.525,0.0,0.0,1.6964468085266653e-09
9.575000000000001,0.0,0.0,1.5350085500626095e-09
9.625,0.0,0.0,1.3889331731017767e-09
9.675,0.0,0.0,1.2567587061739023e-09
9.725000000000001,0.0,0.0,1.1371623027886053e-09
9.775,0.0,0.0,1.0289470019430697e-09
9.825000000000001,0.0,0.0,9.310297485340074e-10
9.875,0.0,0.0,8.424305537781818e-10
9.925,0.0,0.0,7.622626871552525e-10
9.975000000000001,0.0,0.0,6.897238017107102e-10
